"FL2","RW2","CL2","BD2","sp","sex"
0.426315789473684,0.352631578947368,0.847368421052632,0.368421052631579,"B","M"
0.423076923076923,0.370192307692308,0.870192307692308,0.355769230769231,"B","M"
0.410714285714286,0.348214285714286,0.848214285714286,0.34375,"B","M"
0.415584415584416,0.341991341991342,0.87012987012987,0.354978354978355,"B","M"
0.426086956521739,0.347826086956522,0.882608695652174,0.356521739130435,"B","M"
0.407547169811321,0.339622641509434,0.867924528301887,0.369811320754717,"B","M"
0.409594095940959,0.365313653136531,0.878228782287823,0.361623616236162,"B","M"
0.408450704225352,0.320422535211268,0.862676056338028,0.366197183098592,"B","M"
0.424460431654676,0.345323741007194,0.870503597122302,0.348920863309352,"B","M"
0.402730375426621,0.358361774744027,0.860068259385665,0.351535836177474,"B","M"
0.386075949367089,0.341772151898734,0.863924050632911,0.34493670886076,"B","M"
0.39047619047619,0.349206349206349,0.850793650793651,0.361904761904762,"B","M"
0.397476340694006,0.315457413249211,0.873817034700315,0.359621451104101,"B","M"
0.40251572327044,0.320754716981132,0.855345911949685,0.342767295597484,"B","M"
0.406349206349206,0.346031746031746,0.86984126984127,0.349206349206349,"B","M"
0.41747572815534,0.355987055016181,0.867313915857605,0.368932038834951,"B","M"
0.405572755417957,0.328173374613003,0.873065015479876,0.340557275541796,"B","M"
0.404320987654321,0.33641975308642,0.873456790123457,0.345679012345679,"B","M"
0.411764705882353,0.343653250773994,0.860681114551084,0.34984520123839,"B","M"
0.417417417417417,0.333333333333333,0.876876876876877,0.363363363363363,"B","M"
0.402816901408451,0.326760563380282,0.88169014084507,0.357746478873239,"B","M"
0.401098901098901,0.31043956043956,0.876373626373626,0.376373626373626,"B","M"
0.412087912087912,0.299450549450549,0.862637362637363,0.362637362637363,"B","M"
0.405405405405405,0.310810810810811,0.875675675675676,0.362162162162162,"B","M"
0.403225806451613,0.31989247311828,0.873655913978495,0.365591397849462,"B","M"
0.4141689373297,0.329700272479564,0.880108991825613,0.370572207084469,"B","M"
0.410666666666667,0.314666666666667,0.88,0.362666666666667,"B","M"
0.389578163771712,0.312655086848635,0.88833746898263,0.359801488833747,"B","M"
0.408740359897172,0.326478149100257,0.874035989717224,0.365038560411311,"B","M"
0.412820512820513,0.297435897435897,0.866666666666667,0.369230769230769,"B","M"
0.395577395577396,0.314496314496314,0.857493857493857,0.385749385749386,"B","M"
0.388489208633093,0.3189448441247,0.863309352517986,0.369304556354916,"B","M"
0.398533007334963,0.310513447432763,0.87041564792176,0.364303178484108,"B","M"
0.392344497607655,0.311004784688995,0.854066985645933,0.363636363636364,"B","M"
0.382488479262673,0.311059907834101,0.877880184331797,0.34331797235023,"B","M"
0.401913875598086,0.30622009569378,0.866028708133971,0.356459330143541,"B","M"
0.395784543325527,0.309133489461358,0.873536299765808,0.365339578454333,"B","M"
0.407142857142857,0.3,0.866666666666667,0.35952380952381,"B","M"
0.408114558472554,0.303102625298329,0.875894988066826,0.372315035799523,"B","M"
0.391799544419134,0.30751708428246,0.856492027334852,0.366742596810934,"B","M"
0.397752808988764,0.30561797752809,0.869662921348315,0.359550561797753,"B","M"
0.401345291479821,0.316143497757848,0.890134529147982,0.376681614349776,"B","M"
0.405405405405405,0.308558558558559,0.882882882882883,0.364864864864865,"B","M"
0.383673469387755,0.322448979591837,0.859183673469388,0.363265306122449,"B","M"
0.407172995780591,0.284810126582278,0.877637130801688,0.375527426160338,"B","M"
0.41505376344086,0.296774193548387,0.879569892473118,0.361290322580645,"B","M"
0.406185567010309,0.315463917525773,0.863917525773196,0.367010309278351,"B","M"
0.398390342052314,0.285714285714286,0.869215291750503,0.374245472837022,"B","M"
0.404907975460123,0.292433537832311,0.867075664621677,0.374233128834356,"B","M"
0.39010989010989,0.287545787545788,0.862637362637363,0.366300366300366,"B","M"
0.421052631578947,0.380116959064327,0.859649122807017,0.35672514619883,"B","F"
0.39647577092511,0.374449339207048,0.850220264317181,0.33920704845815,"B","F"
0.421296296296296,0.375,0.856481481481481,0.356481481481481,"B","F"
0.40990990990991,0.369369369369369,0.864864864864865,0.346846846846847,"B","F"
0.424107142857143,0.366071428571429,0.875,0.348214285714286,"B","F"
0.410041841004184,0.372384937238494,0.853556485355649,0.368200836820084,"B","F"
0.413934426229508,0.381147540983607,0.85655737704918,0.344262295081967,"B","F"
0.417004048582996,0.384615384615385,0.862348178137652,0.360323886639676,"B","F"
0.409448818897638,0.381889763779528,0.854330708661417,0.326771653543307,"B","F"
0.4106463878327,0.361216730038023,0.855513307984791,0.346007604562738,"B","F"
0.428015564202335,0.381322957198444,0.875486381322957,0.319066147859922,"B","F"
0.41635687732342,0.371747211895911,0.847583643122677,0.349442379182156,"B","F"
0.393835616438356,0.376712328767123,0.845890410958904,0.345890410958904,"B","F"
0.407017543859649,0.385964912280702,0.863157894736842,0.364912280701754,"B","F"
0.418772563176895,0.411552346570397,0.855595667870036,0.36101083032491,"B","F"
0.410526315789474,0.371929824561403,0.873684210526316,0.364912280701754,"B","F"
0.395348837209302,0.378737541528239,0.863787375415282,0.362126245847176,"B","F"
0.41522491349481,0.370242214532872,0.85121107266436,0.363321799307958,"B","F"
0.410958904109589,0.38013698630137,0.86986301369863,0.376712328767123,"B","F"
0.39873417721519,0.386075949367089,0.825949367088608,0.354430379746835,"B","F"
0.41025641025641,0.375,0.868589743589744,0.381410256410256,"B","F"
