"V1","V2","z"
0.461193964501295,1.90803662594505,1
0.813061841283708,0.706513291172083,1
-0.798656441347834,2.85622117807184,1
-0.166953100084738,1.83319957932093,1
-0.718668641655628,1.99422569012057,1
-0.219443355839391,0.538418937815222,1
-0.653298101890286,1.6097419056629,1
-0.804303141544736,-0.526494334664825,1
-1.56786427813796,0.433561680614273,1
0.04379388247719,1.11196470693555,1
0.537394053700836,0.233486689773778,1
0.303585859849581,1.09975598822574,1
-1.45226158743106,2.49735156737365,1
-0.282818344692422,-0.0445761151429849,1
-0.768647765358964,0.336083974733252,1
1.53360781046018,2.14921837942576,1
-1.38198984685034,-0.491302215061269,1
-0.574537945651736,1.40983566045616,1
-1.65901839275923,0.0114362050946547,2
-1.56486621925712,-1.40650436886526,2
-1.55464710550217,-1.19679917241895,2
-1.75106604509331,-0.747812503157547,2
-0.762593894510362,2.65544499220322,2
-1.6078549030473,0.941005946640431,2
-1.68767337183224,0.667759555407209,2
-0.579614116439487,-0.507315514703325,2
-4.09793868898137,1.50410345578348,2
-2.88233131276063,0.00970232270176639,2
-1.09696280183587,1.72187686367915,2
-4.54169252886622,-1.00684350975714,2
-1.28342109070405,0.775549358182861,2
-2.33520497074851,0.531277940780705,2
-2.85054063403783,0.547723841369439,2
-1.32216974456414,1.41835762594127,2
0.0941368200495414,0.535992254494414,2
-0.696477520190435,-1.21687420877578,2
-2.89060781917345,-2.20960452921756,2
-3.24523825901394,-0.333024247309065,2
-0.628858091263339,0.699615612765925,2
-2.48989400580044,-1.08242446425829,2
